epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,lr,batch_size,max_batch_size,worker_max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,score_time,deepcopy_time,grad_time_128,n_updates,n_data,score__calls,partial_fit__calls,n_workers,damping_,batch_size_,lr_,partial_fit__time,score__acc,score__loss,score__time
0,0.5990999937057495,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,391,50048,1,1,1,128,128,0.05,39.40368413925171,0.5990999937057495,1.1621527954101565,0.0
1,0.6762999892234802,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,782,100096,2,2,1,128,128,0.05,36.349491357803345,0.6762999892234802,0.9383365051269532,0.0
2,0.7156999707221985,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,1173,150144,3,3,1,128,128,0.05,36.57387113571167,0.7156999707221985,0.8281552551269531,0.0
3,0.7777999639511108,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,1564,200192,4,4,1,128,128,0.05,36.37450957298279,0.7777999639511108,0.6450935363769531,0.0
4,0.7678999900817871,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,1955,250240,5,5,1,128,128,0.05,36.309181451797485,0.7678999900817871,0.6710390625,0.0
5,0.7994999885559082,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,2346,300288,6,6,1,128,128,0.05,36.40046715736389,0.7994999885559082,0.5948365234375,0.0
6,0.8030999898910522,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,2737,350336,7,7,1,128,128,0.05,36.31217169761658,0.8030999898910522,0.5895824035644531,0.0
7,0.8100000023841858,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,3128,400384,8,8,1,128,128,0.05,36.40592551231384,0.8100000023841858,0.5627686096191407,0.0
8,0.8186999559402466,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,3519,450432,9,9,1,128,128,0.05,36.39134407043457,0.8186999559402466,0.5387750885009766,0.0
9,0.8077999949455261,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/6121/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,3910,500480,10,10,1,128,128,0.05,36.32352614402771,0.8077999949455261,0.5653393249511719,0.0
