epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,batch_size,max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,n_updates,n_data,score__calls,partial_fit__calls,n_workers,partial_fit__time,partial_fit__batch_size,partial_fit__lr,score__acc,score__loss,score__time
0,0.5990999937057495,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",391,50048,1,1,1,36.36914396286011,128,0.05,0.5990999937057495,1.1621527954101565,0.0
1,0.6762999892234802,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",782,100096,2,2,1,39.66484808921814,128,0.05,0.6762999892234802,0.9383365051269532,0.0
2,0.7156999707221985,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",1173,150144,3,3,1,47.21275877952576,128,0.05,0.7156999707221985,0.8281552551269531,0.0
3,0.7777999639511108,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",1564,200192,4,4,1,39.03976106643677,128,0.05,0.7777999639511108,0.6450935363769531,0.0
4,0.7678999900817871,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",1955,250240,5,5,1,39.27912497520447,128,0.05,0.7678999900817871,0.6710390625,0.0
5,0.7994999885559082,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",2346,300288,6,6,1,41.24862313270569,128,0.05,0.7994999885559082,0.5948365234375,0.0
6,0.8030999898910522,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",2737,350336,7,7,1,41.819445848464966,128,0.05,0.8030999898910522,0.5895824035644531,0.0
7,0.8100000023841858,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",3128,400384,8,8,1,42.31776690483093,128,0.05,0.8100000023841858,0.5627686096191407,0.0
8,0.8186999559402466,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",3519,450432,9,9,1,38.1069700717926,128,0.05,0.8186999559402466,0.5387750885009766,0.0
9,0.8077999949455261,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",3910,500480,10,10,1,35.829983949661255,128,0.05,0.8077999949455261,0.5653393249511719,0.0
10,0.8211999535560608,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cpu,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://10.139.67.201/51337/1' processes=1 threads=8, memory=17.18 GB>",4301,550528,11,11,1,47.773714780807495,128,0.05,0.8211999535560608,0.52797255859375,0.0
