epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,lr,batch_size,max_batch_size,worker_max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,score_time,deepcopy_time,grad_time_128,n_updates,n_data,score__calls,partial_fit__calls,n_workers,damping_,batch_size_,lr_,partial_fit__time,score__acc,score__loss,score__time
0,0.5943999886512756,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,391,50048,1,1,1,128,128,0.05,39.52740287780762,0.5943999886512756,1.1201593505859375,0.0
1,0.6757999658584595,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,782,100096,2,2,1,128,128,0.05,36.324726819992065,0.6757999658584595,0.9235643859863282,0.0
2,0.7128999829292297,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,1173,150144,3,3,1,128,128,0.05,36.458006620407104,0.7128999829292297,0.8256766540527344,0.0
3,0.7423999905586243,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,1564,200192,4,4,1,128,128,0.05,36.316726207733154,0.7423999905586243,0.7493460754394531,0.0
4,0.7707999944686891,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,1955,250240,5,5,1,128,128,0.05,36.2957239151001,0.7707999944686891,0.6569894714355469,0.0
5,0.7875999808311462,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,2346,300288,6,6,1,128,128,0.05,36.53800678253174,0.7875999808311462,0.6265168884277343,0.0
6,0.7892999649047852,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,2737,350336,7,7,1,128,128,0.05,36.3843994140625,0.7892999649047852,0.6224059692382813,0.0
7,0.8071999549865723,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,3128,400384,8,8,1,128,128,0.05,36.45288038253784,0.8071999549865723,0.5785087341308593,0.0
8,0.8120999932289124,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,3519,450432,9,9,1,128,128,0.05,36.51972556114197,0.8120999932289124,0.5622809875488282,0.0
9,0.8226000070571899,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,3910,500480,10,10,1,128,128,0.05,36.42187142372131,0.8226000070571899,0.5299200103759766,0.0
10,0.8353999853134155,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,4301,550528,11,11,1,128,128,0.05,36.29724621772766,0.8353999853134155,0.4899660186767578,0.0
11,0.8224999904632568,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,4692,600576,12,12,1,128,128,0.05,36.348512172698975,0.8224999904632568,0.5261831726074219,0.0
12,0.8246999979019165,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,5083,650624,13,13,1,128,128,0.05,36.5229070186615,0.8246999979019165,0.5218330749511719,0.0
13,0.8355000019073486,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,5474,700672,14,14,1,128,128,0.05,36.45762610435486,0.8355000019073486,0.4832679321289062,0.0
14,0.8416999578475952,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,5865,750720,15,15,1,128,128,0.05,36.313010454177856,0.8416999578475952,0.4668154937744141,0.0
15,0.8370999693870544,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,6256,800768,16,16,1,128,128,0.05,36.34553861618042,0.8370999693870544,0.4776099334716797,0.0
16,0.8308999538421631,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,128,99999999,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8363/1' processes=1 threads=4, memory=16.48 GB>",0.0,0.000127488,0.07832,6647,850816,17,17,1,128,128,0.05,36.375776529312134,0.8308999538421631,0.4971209075927734,0.0
