epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,batch_size,max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,n_updates,n_data,score__calls,partial_fit__calls,n_workers,partial_fit__time,partial_fit__batch_size,partial_fit__lr,score__acc,score__loss,score__time
0,0.6050999760627747,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",391,50048,1,1,1,56.83034586906433,128,0.05,0.6050999760627747,1.1004581176757813,5.023454666137695
1,0.6895999908447266,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",782,100096,2,2,1,56.78975462913513,128,0.05,0.6895999908447266,0.8830389831542969,5.03755259513855
2,0.739799976348877,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",1173,150144,3,3,1,57.28982400894165,128,0.05,0.739799976348877,0.7354708251953125,5.063730478286743
3,0.7651000022888184,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",1564,200192,4,4,1,58.01361060142517,128,0.05,0.7651000022888184,0.69890146484375,5.052862644195557
4,0.777899980545044,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",1955,250240,5,5,1,57.81985402107239,128,0.05,0.777899980545044,0.66513505859375,5.072899103164673
5,0.7910999655723572,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",2346,300288,6,6,1,58.1946702003479,128,0.05,0.7910999655723572,0.6150525268554687,5.098352432250977
6,0.7712999582290649,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",2737,350336,7,7,1,58.12732267379761,128,0.05,0.7712999582290649,0.6941529052734375,5.087796926498413
7,0.8109999895095825,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",3128,400384,8,8,1,58.20866131782532,128,0.05,0.8109999895095825,0.571917041015625,5.080973386764526
8,0.8155999779701233,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",3519,450432,9,9,1,58.67145371437073,128,0.05,0.8155999779701233,0.5631365509033203,5.09881067276001
9,0.8133999705314636,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.15.20/4873/1' processes=1 threads=4, memory=16.48 GB>",3910,500480,10,10,1,58.27116107940674,128,0.05,0.8133999705314636,0.5506504913330078,5.112244606018066
