epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,lr,batch_size,max_batch_size,worker_max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,n_updates,n_data,score__calls,partial_fit__calls,n_workers,damping_,batch_size_,lr_,partial_fit__time,score__acc,score__loss,score__time
0,0.48979997634887695,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",98,50176,1,1,4,512,512,0.05,92.64917922019958,0.48979997634887695,1.4117111206054687,4.945221185684204
1,0.6232999563217163,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",196,100352,2,2,4,512,512,0.05,67.57347536087036,0.6232999563217163,1.0913798583984375,4.914973020553589
2,0.6603999733924866,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",294,150528,3,3,4,512,512,0.05,66.7312560081482,0.6603999733924866,0.9687390930175781,4.8891565799713135
3,0.7120999693870544,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",392,200704,4,4,4,512,512,0.05,67.8696563243866,0.7120999693870544,0.8422039855957031,4.911100387573242
4,0.7465999722480774,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",490,250880,5,5,4,512,512,0.05,66.90567636489868,0.7465999722480774,0.740392333984375,4.942040205001831
5,0.7512999773025513,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",588,301056,6,6,4,512,512,0.05,67.60369396209717,0.7512999773025513,0.7346484069824218,4.968477725982666
6,0.7569999694824219,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",686,351232,7,7,4,512,512,0.05,67.9813482761383,0.7569999694824219,0.7343302978515625,4.9147326946258545
7,0.7965999841690063,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",784,401408,8,8,4,512,512,0.05,66.60557889938354,0.7965999841690063,0.5991263366699219,4.894749402999878
8,0.7978999614715576,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",882,451584,9,9,4,512,512,0.05,66.78636693954468,0.7978999614715576,0.5949447387695312,4.927877902984619
9,0.8180999755859375,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",980,501760,10,10,4,512,512,0.05,68.88545751571655,0.8180999755859375,0.5479798950195313,5.007932186126709
10,0.8219999670982361,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",1078,551936,11,11,4,512,512,0.05,66.88252258300781,0.8219999670982361,0.5318622100830078,4.894244909286499
11,0.8235999941825867,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",1176,602112,13,12,4,512,512,0.05,68.05888175964355,0.8235999941825867,0.523426596069336,4.898741960525513
12,0.8337999582290649,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",1274,652288,14,13,4,512,512,0.05,67.14478087425232,0.8337999582290649,0.5044624481201172,4.920422554016113
13,0.8313999772071838,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",1372,702464,15,14,4,512,512,0.05,67.46542644500732,0.8313999772071838,0.5097396179199218,4.9856345653533936
14,0.8382999897003174,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,0.05,512,512,1024,1,8,,16,4,0.3,10,0.05,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/27181/1' processes=1 threads=4, memory=16.48 GB>",1470,752640,16,15,4,512,512,0.05,66.8804337978363,0.8382999897003174,0.49874329833984377,6.374301910400391
