epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,batch_size,max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,n_updates,n_data,n_weight_changes,score__calls,partial_fit__calls,n_workers,partial_fit__time,partial_fit__batch_size,partial_fit__lr,weight_aggregate,score__acc,score__loss,score__time
0,0.21949999034404755,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",29631,10438528,29631,205,201,1,80.23787045478821,128,0.1,2779.3926577758975,0.21949999034404755,2.073456982421875,5.2723376750946045
1,0.2630999982357025,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",30022,10488576,30022,206,202,1,80.37943959236145,128,0.1,2284.1655175352935,0.2630999982357025,1.9481004638671875,5.300045013427734
2,0.31029999256134033,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",30413,10538624,30413,207,203,1,81.69860029220581,128,0.1,1919.9099203399383,0.31029999256134033,1.80767021484375,5.3498640060424805
3,0.3709000051021576,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",30804,10588672,30804,208,204,1,80.98540735244751,128,0.1,1649.915618299041,0.3709000051021576,1.6747713623046876,5.292075872421265
4,0.40219998359680176,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",31195,10638720,31195,209,205,1,80.34152889251709,128,0.1,1502.6132159628905,0.40219998359680176,1.6424606811523437,5.264453411102295
5,0.5148000121116638,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",31586,10688768,31586,210,206,1,80.49911046028137,128,0.1,1634.5025881178444,0.5148000121116638,1.368790087890625,5.313955068588257
6,0.5665000081062317,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",31977,10738816,31977,211,207,1,81.33809041976929,128,0.1,1762.6995192490285,0.5665000081062317,1.207871435546875,5.283099889755249
7,0.6121000051498413,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",32368,10788864,32368,212,208,1,80.26938056945801,128,0.1,1862.728041607188,0.6121000051498413,1.1096814086914062,5.292842149734497
8,0.6524999737739563,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",32759,10838912,32759,213,209,1,80.57760906219482,128,0.1,1931.8283108786563,0.6524999737739563,1.01194931640625,5.279800891876221
9,0.6517999768257141,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",33150,10888960,33150,214,210,1,80.39581823348999,128,0.1,1977.1710603706306,0.6517999768257141,1.0048428833007812,5.264971017837524
10,0.6667999625205994,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/8609/1' processes=1 threads=4, memory=16.48 GB>",33541,10939008,33541,215,211,1,81.42053699493408,128,0.1,1977.0278334259056,0.6667999625205994,0.9663140869140625,5.270142555236816
