epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,batch_size,max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,n_updates,n_data,n_weight_changes,score__calls,partial_fit__calls,n_workers,score__acc,score__loss,score__time,partial_fit__time,partial_fit__batch_size,partial_fit__lr,weight_aggregate
0,0.2630999982357025,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",391,50048,391,2,1,1,0.2630999982357025,4.66340205078125,4.847932577133179,67.5653862953186,128,0.1,2451.581772673875
1,0.2630999982357025,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",782,100096,782,3,2,1,0.2630999982357025,4.102524389648438,4.915509223937988,67.85317659378052,128,0.1,2031.1398609355092
2,0.26249998807907104,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",1173,150144,1173,4,3,1,0.26249998807907104,3.7763710693359376,4.827953577041626,68.12193059921265,128,0.1,1720.1009322423488
3,0.2717999815940857,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",1564,200192,1564,5,4,1,0.2717999815940857,3.5270287109375,4.815514326095581,67.52386021614075,128,0.1,1443.7550168875605
4,0.26569998264312744,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",1955,250240,1955,6,5,1,0.26569998264312744,3.3786290283203124,4.855753183364868,67.55752348899841,128,0.1,1204.7243921868503
5,0.25519999861717224,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",2346,300288,2346,7,6,1,0.25519999861717224,5.279018212890625,4.900749921798706,67.97755479812622,128,0.1,1690.7696875045076
6,0.2523999810218811,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",2737,350336,2737,8,7,1,0.2523999810218811,4.741956494140625,4.861186504364014,68.07873058319092,128,0.1,1411.8168985527009
7,0.25459998846054077,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",3128,400384,3128,9,8,1,0.25459998846054077,4.274097412109375,4.824742794036865,67.72354388237,128,0.1,1177.3799738353118
8,0.2557999789714813,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",3519,450432,3519,10,9,1,0.2557999789714813,3.9352220703125,4.809099197387695,67.27258062362671,128,0.1,981.3890306069516
9,0.2563999891281128,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",3910,500480,3910,11,10,1,0.2563999891281128,3.7022899658203126,4.8200061321258545,67.30309009552002,128,0.1,812.2738878224045
10,0.2602999806404114,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",4301,550528,4301,12,11,1,0.2602999806404114,3.701720166015625,4.7885191440582275,67.20412707328796,128,0.1,1410.622537969146
11,0.26089999079704285,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",4692,600576,4692,13,12,1,0.26089999079704285,4.7216771484375,4.817196369171143,67.20479941368103,128,0.1,1339.6696805171669
12,0.25529998540878296,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",5083,650624,5083,14,13,1,0.25529998540878296,4.168685424804687,4.823948860168457,67.54731225967407,128,0.1,1147.776975499466
13,0.25279998779296875,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",5474,700672,5474,15,14,1,0.25279998779296875,2.96808544921875,4.871152400970459,67.43435382843018,128,0.1,1095.301011248026
14,0.25859999656677246,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",5865,750720,5865,16,15,1,0.25859999656677246,4.696025732421875,4.842058897018433,68.03811836242676,128,0.1,1075.5754029555246
15,0.2606000006198883,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",6256,800768,6256,17,16,1,0.2606000006198883,4.10847265625,4.815859079360962,67.45967960357666,128,0.1,916.7049194646534
16,0.25679999589920044,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",6647,850816,6647,18,17,1,0.25679999589920044,3.6973984619140623,4.833262205123901,66.99705910682678,128,0.1,785.6977407312952
17,0.26589998602867126,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",7038,900864,7038,19,18,1,0.26589998602867126,4.76228466796875,4.84349799156189,67.64259910583496,128,0.1,1079.1093521496514
18,0.26479998230934143,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",7429,950912,7429,20,19,1,0.26479998230934143,4.237971459960938,4.8330397605896,67.68765473365784,128,0.1,921.0029468502617
19,0.2678999900817871,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.1,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/3055/1' processes=1 threads=4, memory=16.48 GB>",7820,1000960,7820,21,20,1,0.2678999900817871,3.83888798828125,4.822113513946533,67.48125720024109,128,0.1,794.1476259669289
