epoch,score,module,loss,optimizer,metrics,device,cluster,grads_per_worker,max_epochs,batch_size,max_batch_size,min_workers,max_workers,random_state,module__depth,module__widen_factor,module__dropout_rate,module__num_classes,optimizer__lr,optimizer__momentum,optimizer__nesterov,optimizer__weight_decay,client,n_updates,n_data,n_weight_changes,score__calls,partial_fit__calls,n_workers,score__acc,score__loss,score__time,partial_fit__time,partial_fit__batch_size,partial_fit__lr,weight_aggregate
0,0.2660999894142151,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",391,50048,391,2,1,1,0.2660999894142151,4.111320581054687,5.070871114730835,69.33460211753845,128,0.02,2175.9675753545016
1,0.2680000066757202,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",782,100096,782,3,2,1,0.2680000066757202,4.165153173828125,5.080155849456787,69.49614334106445,128,0.02,2102.6433008937165
2,0.26600000262260437,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",1173,150144,1173,4,3,1,0.26600000262260437,4.135280395507812,5.072561025619507,69.09993052482605,128,0.02,2026.3612816538662
3,0.2685000002384186,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",1564,200192,1564,5,4,1,0.2685000002384186,4.090088037109375,5.064126491546631,69.2746832370758,128,0.02,1949.9197565065697
4,0.2676999866962433,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",1955,250240,1955,6,5,1,0.2676999866962433,4.039275830078125,5.117781400680542,69.66715884208679,128,0.02,1885.8311466276646
5,0.2671000063419342,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",2346,300288,2346,7,6,1,0.2671000063419342,3.980478564453125,5.09908390045166,69.79522562026978,128,0.02,1825.8269312228076
6,0.2630999982357025,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",2737,350336,2737,8,7,1,0.2630999982357025,3.9405654052734373,5.039756536483765,69.24697089195251,128,0.02,1766.6745384256355
7,0.2710999846458435,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",3128,400384,3128,9,8,1,0.2710999846458435,3.8741525390625,5.068936109542847,69.3239905834198,128,0.02,1713.7115764720365
8,0.26489999890327454,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",3519,450432,3519,10,9,1,0.26489999890327454,3.8403677490234376,5.098413467407227,69.59603333473206,128,0.02,1667.4568099593744
9,0.2685000002384186,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",3910,500480,3910,11,10,1,0.2685000002384186,3.80253759765625,5.066598892211914,69.91820979118347,128,0.02,1622.0126082077622
10,0.2692999839782715,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",4301,550528,4301,12,11,1,0.2692999839782715,3.77319482421875,5.296945810317993,68.90360593795776,128,0.02,1578.054868221283
11,0.2694999873638153,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",4692,600576,4692,13,12,1,0.2694999873638153,3.7414256591796873,5.098515272140503,69.3849573135376,128,0.02,1535.5019817547873
12,0.2678999900817871,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",5083,650624,5083,14,13,1,0.2678999900817871,3.70942431640625,5.076129913330078,69.61949920654297,128,0.02,1493.893021473661
13,0.26579999923706055,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",5474,700672,5474,15,14,1,0.26579999923706055,3.689061279296875,5.34513783454895,69.65139818191528,128,0.02,1452.835636369884
14,0.26980000734329224,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",5865,750720,5865,16,15,1,0.26980000734329224,3.65956630859375,5.079517364501953,69.01774072647095,128,0.02,1413.256084388122
15,0.2687000036239624,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",6256,800768,6256,17,16,1,0.2687000036239624,3.6447424072265626,5.096756458282471,69.46549558639526,128,0.02,1374.330009015277
16,0.26420000195503235,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",6647,850816,6647,18,17,1,0.26420000195503235,3.6242101806640625,5.105967044830322,69.39571285247803,128,0.02,1336.312764491886
17,0.2662000060081482,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",7038,900864,7038,19,18,1,0.2662000060081482,3.6006847900390624,5.066826820373535,69.95949935913086,128,0.02,1298.6512262346223
18,0.2689000070095062,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",7429,950912,7429,20,19,1,0.2689000070095062,3.5768827880859373,5.081560850143433,69.10104465484619,128,0.02,1261.2670155465603
19,0.26899999380111694,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",7820,1000960,7820,21,20,1,0.26899999380111694,3.5744974853515625,5.107866287231445,69.58331608772278,128,0.02,1224.6830962058157
20,0.26659998297691345,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",8211,1051008,8211,22,21,1,0.26659998297691345,3.5404553466796873,5.141266107559204,69.46998071670532,128,0.02,1188.260652740486
21,0.2700999975204468,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",8602,1101056,8602,23,22,1,0.2700999975204468,3.5356074462890623,5.094938039779663,70.24846243858337,128,0.02,1151.8855413459241
22,0.2653000056743622,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",8993,1151104,8993,24,23,1,0.2653000056743622,3.5159595947265627,5.049253463745117,69.05321955680847,128,0.02,1116.4869175378699
23,0.2732999920845032,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",9384,1201152,9384,25,24,1,0.2732999920845032,3.4876673583984377,5.102628469467163,69.77562022209167,128,0.02,1081.5874967873096
24,0.27059999108314514,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",9775,1251200,9775,26,25,1,0.27059999108314514,3.4900867919921876,5.1045238971710205,69.46098947525024,128,0.02,1047.7149302912876
25,0.27309998869895935,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",10166,1301248,10166,27,26,1,0.27309998869895935,3.466624267578125,5.13207221031189,70.1410162448883,128,0.02,1014.4903267347254
26,0.2700999975204468,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",10557,1351296,10557,28,27,1,0.2700999975204468,3.4566367431640623,5.054773807525635,69.15639662742615,128,0.02,982.3968596123159
27,0.2683999836444855,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",10948,1401344,10948,29,28,1,0.2683999836444855,3.460794677734375,5.112679481506348,69.14154601097107,128,0.02,950.9260376086459
28,0.2694999873638153,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",11339,1451392,11339,30,29,1,0.2694999873638153,3.441716796875,5.106085538864136,70.05694055557251,128,0.02,920.5954079302028
29,0.2653000056743622,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",11730,1501440,11730,31,30,1,0.2653000056743622,3.4297118408203127,5.064935922622681,69.66488099098206,128,0.02,891.0747894868255
30,0.2678000032901764,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",12121,1551488,12121,32,31,1,0.2678000032901764,3.3939541015625,5.0619895458221436,69.72951412200928,128,0.02,862.713658622466
31,0.2718999981880188,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",12512,1601536,12512,33,32,1,0.2718999981880188,3.3848203125,5.108640193939209,69.16643190383911,128,0.02,836.3466211091727
32,0.26739999651908875,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",12903,1651584,12903,34,33,1,0.26739999651908875,3.3810602783203123,5.158842086791992,69.355881690979,128,0.02,810.7945483941585
33,0.2563999891281128,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",13294,1701632,13294,35,34,1,0.2563999891281128,3.713898876953125,5.088597297668457,70.26314520835876,128,0.02,1163.2274111881852
34,0.2565999925136566,<class 'model.Wide_ResNet'>,<class 'torch.nn.modules.loss.CrossEntropyLoss'>,<class 'torch.optim.sgd.SGD'>,,cuda:0,,128,200,128,1024,1,8,,16,4,0.3,10,0.02,0.9,True,0.0005,"<Client: 'inproc://172.31.40.124/5450/1' processes=1 threads=4, memory=16.48 GB>",13685,1751680,13685,36,35,1,0.2565999925136566,3.8702452392578124,5.125675201416016,68.90008664131165,128,0.02,1130.0045858444646
